"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 22 07:02:23 GMT 2022","Mon Aug 22 07:02:37 GMT 2022","13548","","Test button and filling pruducts page","","","","Test sms button work",""
"passed","Mon Aug 22 07:00:12 GMT 2022","Mon Aug 22 07:00:19 GMT 2022","7389","","Test learn page elements","","","","Test op guide button link",""
"passed","Mon Aug 22 07:02:51 GMT 2022","Mon Aug 22 07:03:03 GMT 2022","12640","","Test button and filling pruducts page","","","","Test a2p new button work",""
"passed","Mon Aug 22 07:00:20 GMT 2022","Mon Aug 22 07:00:28 GMT 2022","8551","","Test learn page elements","","","","Test trunk button link",""
"passed","Mon Aug 22 07:01:00 GMT 2022","Mon Aug 22 07:01:05 GMT 2022","5292","","test button on main page","","","","See if the label will appear when call us button click",""
"passed","Mon Aug 22 07:00:29 GMT 2022","Mon Aug 22 07:00:38 GMT 2022","9128","","Test learn page elements","","","","Test iot button link",""
"passed","Mon Aug 22 07:02:14 GMT 2022","Mon Aug 22 07:02:23 GMT 2022","8543","","Test button and filling pruducts page","","","","See url and label of page after explore our products button clicked",""
"passed","Mon Aug 22 07:03:04 GMT 2022","Mon Aug 22 07:03:14 GMT 2022","10425","","Test button and filling pruducts page","","","","Test Alphanumeric Sender ID new button work",""
"passed","Mon Aug 22 07:01:36 GMT 2022","Mon Aug 22 07:01:46 GMT 2022","10717","","test button on main page","","","","See if the join white list button is working",""
"passed","Mon Aug 22 07:01:14 GMT 2022","Mon Aug 22 07:01:35 GMT 2022","21214","","test button on main page","","","","See if the log in button is working",""
"passed","Mon Aug 22 07:01:06 GMT 2022","Mon Aug 22 07:01:14 GMT 2022","8335","","test button on main page","","","","See if the support center button is working",""
"passed","Mon Aug 22 07:02:37 GMT 2022","Mon Aug 22 07:02:50 GMT 2022","12476","","Test button and filling pruducts page","","","","Test mms button work",""
"passed","Mon Aug 22 06:59:52 GMT 2022","Mon Aug 22 07:00:12 GMT 2022","19960","","Test learn page elements","","","","Test sms guide button link",""
"passed","Mon Aug 22 07:01:46 GMT 2022","Mon Aug 22 07:01:53 GMT 2022","6787","","test button on main page","","","","See if the talk button is working",""
"passed","Mon Aug 22 06:59:44 GMT 2022","Mon Aug 22 06:59:51 GMT 2022","7369","","Test learn page elements","","","","Test resource button work",""
