"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Aug 20 15:34:57 UTC 2022","Sat Aug 20 15:35:18 UTC 2022","21702","","test button on main page","","","","See if the log in button is working",""
"passed","Sat Aug 20 15:33:52 UTC 2022","Sat Aug 20 15:34:04 UTC 2022","12336","","Test learn page elements","","","","Test op guide button link",""
"passed","Sat Aug 20 15:36:46 UTC 2022","Sat Aug 20 15:36:58 UTC 2022","11395","","Test button and filling pruducts page","","","","Test Alphanumeric Sender ID new button work",""
"passed","Sat Aug 20 15:34:49 UTC 2022","Sat Aug 20 15:34:57 UTC 2022","7532","","test button on main page","","","","See if the support center button is working",""
"passed","Sat Aug 20 15:33:41 UTC 2022","Sat Aug 20 15:33:52 UTC 2022","10614","","Test learn page elements","","","","Test sms guide button link",""
"passed","Sat Aug 20 15:36:34 UTC 2022","Sat Aug 20 15:36:46 UTC 2022","12117","","Test button and filling pruducts page","","","","Test a2p new button work",""
"passed","Sat Aug 20 15:34:44 UTC 2022","Sat Aug 20 15:34:49 UTC 2022","5019","","test button on main page","","","","See if the label will appear when call us button click",""
"passed","Sat Aug 20 15:36:00 UTC 2022","Sat Aug 20 15:36:07 UTC 2022","6509","","Test button and filling pruducts page","","","","See url and label of page after explore our products button clicked",""
"passed","Sat Aug 20 15:34:14 UTC 2022","Sat Aug 20 15:34:20 UTC 2022","6390","","Test learn page elements","","","","Test iot button link",""
"passed","Sat Aug 20 15:33:31 UTC 2022","Sat Aug 20 15:33:41 UTC 2022","9262","","Test learn page elements","","","","Test resource button work",""
"passed","Sat Aug 20 15:36:20 UTC 2022","Sat Aug 20 15:36:33 UTC 2022","12925","","Test button and filling pruducts page","","","","Test mms button work",""
"passed","Sat Aug 20 15:35:19 UTC 2022","Sat Aug 20 15:35:29 UTC 2022","10891","","test button on main page","","","","See if the join white list button is working",""
"passed","Sat Aug 20 15:35:29 UTC 2022","Sat Aug 20 15:35:37 UTC 2022","7229","","test button on main page","","","","See if the talk button is working",""
"passed","Sat Aug 20 15:36:07 UTC 2022","Sat Aug 20 15:36:19 UTC 2022","12244","","Test button and filling pruducts page","","","","Test sms button work",""
"passed","Sat Aug 20 15:34:05 UTC 2022","Sat Aug 20 15:34:13 UTC 2022","8920","","Test learn page elements","","","","Test trunk button link",""
